Property,Vendor,Service Type,Contract Start Date,Contract End Date,Preferred Vendor,Emergency Contact,Notes
"Pacific Heights Market","Bay Area Building Services","Facility Services","2022-08-01","2025-07-31","TRUE","FALSE","Premium facility services for high-end San Francisco retail location."
"Pacific Heights Market","Golden State Security Solutions","Security","2023-04-15","2026-04-14","TRUE","TRUE","Advanced security systems and monitoring for luxury retail environment."
"Beacon Hill Commons","New England Property Solutions","Property Management","2023-06-01","2026-05-31","TRUE","FALSE","Specialized historic building management with preservation expertise."
"Beacon Hill Commons","Harbor City Security","Security","2022-09-01","2025-08-31","FALSE","TRUE","Security monitoring services. Backup to primary security provider."
"Shadyside Marketplace","Steel City Services","Facility Services","2023-01-15","2025-01-14","TRUE","FALSE","Industrial-grade facility maintenance for urban Pittsburgh location."
"Shadyside Marketplace","Three Rivers HVAC","HVAC","2022-10-15","2025-10-14","TRUE","TRUE","Commercial HVAC services with 24/7 emergency response."
"Short Pump Town Center","Old Dominion Facility Management","Property Management","2023-03-01","2026-02-28","TRUE","FALSE","Full property management services for Richmond area shopping center."
"Hillcrest Village","Dallas Premier HVAC","HVAC","2022-12-15","2025-12-14","FALSE","TRUE","Secondary HVAC contractor for Dallas area properties."
"Hillcrest Village","Big D Facility Services","Maintenance","2023-05-01","2026-04-30","TRUE","FALSE","General maintenance and facility services for Hillcrest location."
"Plaza Midwood Center","Queen City Property Care","Maintenance","2023-02-15","2026-02-14","TRUE","FALSE","Building maintenance and tenant services for Charlotte location."
"Mountain Brook Village","Magic City Maintenance","Maintenance","2022-11-01","2025-10-31","TRUE","FALSE","Regional maintenance services for Alabama properties."
"Saratoga Springs Commons","Empire State Services","Facility Services","2023-04-01","2026-03-31","TRUE","FALSE","Upstate New York facility management with winter weather expertise."
"Carmel-by-the-Sea Plaza","Pacific Coast Landscaping","Landscaping","2023-01-01","2025-12-31","FALSE","FALSE","Coastal landscaping services. Secondary contractor for specialized maintenance."
"Carmel-by-the-Sea Plaza","SoCal Climate Control","HVAC","2023-06-15","2026-06-14","TRUE","TRUE","Climate control for coastal California retail environment."
"Hamptons Market Center","Empire State Services","Facility Services","2022-08-15","2025-08-14","FALSE","FALSE","Seasonal facility services for Hamptons location."
"Bellevue Square District","Emerald City Solutions","Facility Services","2023-01-15","2026-01-14","TRUE","FALSE","Pacific Northwest facility management with sustainable practices focus."
"Avalon Alpharetta","Peachtree Property Care","Property Management","2022-10-01","2025-09-30","TRUE","FALSE","Metro Atlanta property management services for Alpharetta location."
"Avalon Alpharetta","Southern Comfort HVAC","HVAC","2023-02-01","2026-01-31","FALSE","TRUE","HVAC services for Atlanta metro area. Secondary contractor."
"Avalon Alpharetta","Peachtree State Pest Control","Pest Control","2022-10-01","2026-09-30","TRUE","FALSE","Metro Atlanta pest control services for Alpharetta location."
"Legacy West Plano","Dallas Premier HVAC","HVAC","2023-05-15","2026-05-14","TRUE","TRUE","Primary HVAC contractor for Plano location with energy efficiency focus."
"Legacy West Plano","Big D Facility Services","Facility Services","2022-07-01","2025-06-30","TRUE","FALSE","Complete facility services for Legacy West development."
"The Woodlands Town Center","Austin Climate Solutions","HVAC","2022-09-15","2025-09-14","FALSE","TRUE","Extended service area coverage for Woodlands location."
"The Woodlands Town Center","Lone Star Property Management","Property Management","2023-03-01","2026-02-28","TRUE","FALSE","Property management services for The Woodlands retail center."
