Name,Type,Phone,Website,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Description,SicDesc,Sic
"Cactus Commercial Cleaning","Vendor","(480) 555-0310","www.cactuscommercial.com","12500 N Tatum Blvd","Phoenix","Arizona","85032","United States","Professional commercial cleaning services for retail environments. Green cleaning solutions and flexible scheduling.","Facility Services, Maintenance & Cleaning","7349"
"New England Property Solutions","Vendor","(617) 555-0320","www.newenglandprop.com","200 State Street","Boston","Massachusetts","02109","United States","Historic building maintenance and modern facility management. Specialists in New England climate challenges.","Property Management","6531"
"Harbor City Security","Vendor","(617) 555-0330","www.harborcitysec.com","150 Seaport Blvd","Boston","Massachusetts","02210","United States","Commercial security systems and services for retail properties. Advanced technology and local monitoring.","Security Services","7381"
"Steel City Services","Vendor","(412) 555-0340","www.steelcityservices.com","600 Grant Street","Pittsburgh","Pennsylvania","15219","United States","Industrial-grade facility maintenance and repair services. Experienced with challenging urban commercial environments.","Facility Services, Maintenance & Cleaning","7349"
"Three Rivers HVAC","Vendor","(412) 555-0350","www.threerivershvac.com","1500 Smallman Street","Pittsburgh","Pennsylvania","15222","United States","Commercial heating and cooling for Pennsylvania commercial properties. 24/7 emergency service and preventive maintenance.","HVAC & Mechanical contractors","1711"
"Old Dominion Facility Management","Vendor","(804) 555-0360","www.olddominion.com","1200 E Main Street","Richmond","Virginia","23219","United States","Full-service commercial property management and maintenance for Virginia retail properties.","Property Management","6531"
"Queen City Property Care","Vendor","(704) 555-0370","www.queencityprop.com","300 S Tryon Street","Charlotte","North Carolina","28202","United States","Commercial building maintenance and tenant services for retail properties in the Charlotte metropolitan area.","Facility Services, Maintenance & Cleaning","7349"
"Magic City Maintenance","Vendor","(205) 555-0380","www.magiccitymaint.com","2100 Highland Avenue","Birmingham","Alabama","35205","United States","Commercial maintenance and repair services for retail properties throughout Alabama and the Southeast.","Facility Services, Maintenance & Cleaning","7349"
"Empire State Services","Vendor","(518) 555-0390","www.empirestateserv.com","90 State Street","Albany","New York","12207","United States","Upstate New York commercial facility management. Winter-weather specialists and energy efficiency experts.","Facility Services, Maintenance & Cleaning","7349"
"Emerald City Solutions","Vendor","(206) 555-0400","www.emeraldcitysol.com","1500 4th Avenue","Seattle","Washington","98101","United States","Pacific Northwest commercial property services. Sustainable practices and rain-climate building maintenance specialists.","Facility Services, Maintenance & Cleaning","7349"
"Acme Pest Control Services, Inc.", "Vendor", "(404) 555-1200", "wwww.acmepestcontrol.com", "1001 N. Peachtree Parkway", "Peachtree City", "30269", "Comprehensive pest control services for commercial properties.", "Disinfecting & Pest Control Services", "7342"
"Peachtree State Pest Control", "Vendor", "(404) 567-9000", "www.ptreepest.com", "400 County Line Rd.", "Alpharetta", "30998", "Comprehensive pest control services for commercial property.", "Disinfecting & Pest Control Services", "7342"
